Scenario,Random_Seed,Iteration,Num_Experiments,yield_Measurements,yield_IterBest,yield_CumBest,Initial_Data
1,1338,1,4,"[3.6, 25.62]",25.62,44.22,0.0
1,1338,2,6,"[5.22, 5.75]",5.75,44.22,0.0
1,1338,3,8,"[0.0, 0.0]",0.0,44.22,0.0
1,1338,4,10,"[0.0, 57.27]",57.27,57.27,0.0
1,1338,5,12,"[7.34, 9.79]",9.79,57.27,0.0
1,1338,6,14,"[28.9, 17.53]",28.9,57.27,0.0
1,1338,7,16,"[4.97, 4.3]",4.97,57.27,0.0
1,1338,8,18,"[47.03, 31.66]",47.03,57.27,0.0
1,1338,9,20,"[37.38, 3.4]",37.38,57.27,0.0
1,1338,0,2,"[38.8, 27.79]",38.8,38.8,1.0
1,1338,1,4,"[3.6, 5.22]",5.22,38.8,1.0
1,1338,2,6,"[5.75, 0.0]",5.75,38.8,1.0
1,1338,3,8,"[0.0, 0.0]",0.0,38.8,1.0
1,1338,4,10,"[57.27, 47.03]",57.27,57.27,1.0
1,1338,5,12,"[5.29, 3.55]",5.29,57.27,1.0
1,1338,6,14,"[37.38, 3.4]",37.38,57.27,1.0
1,1338,7,16,"[1.71, 0.41]",1.71,57.27,1.0
1,1338,8,18,"[19.55, 21.65]",21.65,57.27,1.0
1,1338,9,20,"[14.29, 11.68]",14.29,57.27,1.0
1,1338,0,2,"[3.77, 0.0]",3.77,3.77,2.0
1,1338,1,4,"[3.6, 5.22]",5.22,5.22,2.0
1,1338,2,6,"[5.75, 0.0]",5.75,5.75,2.0
1,1338,3,8,"[0.0, 0.0]",0.0,5.75,2.0
1,1338,4,10,"[57.27, 47.03]",57.27,57.27,2.0
1,1338,5,12,"[5.62, 6.57]",6.57,57.27,2.0
1,1338,6,14,"[5.29, 2.72]",5.29,57.27,2.0
1,1338,7,16,"[6.98, 25.31]",25.31,57.27,2.0
1,1338,8,18,"[37.38, 2.65]",37.38,57.27,2.0
1,1338,9,20,"[3.4, 1.71]",3.4,57.27,2.0
1,1338,0,2,"[2.77, 0.0]",2.77,2.77,3.0
1,1338,1,4,"[3.6, 5.22]",5.22,5.22,3.0
1,1338,2,6,"[5.75, 0.0]",5.75,5.75,3.0
1,1338,3,8,"[0.0, 0.0]",0.0,5.75,3.0
1,1338,4,10,"[57.27, 47.03]",57.27,57.27,3.0
1,1338,5,12,"[38.8, 65.32]",65.32,65.32,3.0
1,1338,6,14,"[5.29, 0.4]",5.29,65.32,3.0
1,1338,7,16,"[6.57, 7.84]",7.84,65.32,3.0
